5 15
Oferecem Carona:
0: {9: 1, 3: 2, 8: 3, 14: 4, 6: 5, 2: 6, 12: 7, 13: 8, 10: 9, 5: 10, 4: 11, 0: 12, 1: 13, 11: 14, 7: 15}
1: {0: 1, 10: 2, 6: 3, 7: 4, 13: 5, 4: 6, 11: 7, 1: 8, 3: 9, 5: 10, 2: 11, 12: 12, 8: 13, 14: 14, 9: 15}
2: {9: 1, 8: 2, 6: 3, 3: 4, 13: 5, 2: 6, 1: 7, 14: 8, 0: 9, 10: 10, 12: 11, 11: 12, 7: 13, 4: 14, 5: 15}
3: {1: 1, 9: 2, 2: 3, 14: 4, 4: 5, 6: 6, 13: 7, 12: 8, 3: 9, 0: 10, 5: 11, 7: 12, 8: 13, 11: 14, 10: 15}
4: {8: 1, 11: 2, 13: 3, 1: 4, 6: 5, 12: 6, 2: 7, 14: 8, 3: 9, 10: 10, 0: 11, 5: 12, 9: 13, 7: 14, 4: 15}
Recebem Carona:
0: {3: 1, 2: 2, 4: 3, 1: 4, 0: 5}
1: {3: 1, 1: 2, 2: 3, 4: 4, 0: 5}
2: {3: 1, 1: 2, 2: 3, 0: 4, 4: 5}
3: {3: 1, 4: 2, 0: 3, 2: 4, 1: 5}
4: {3: 1, 4: 2, 1: 3, 0: 4, 2: 5}
5: {0: 1, 3: 2, 4: 3, 2: 4, 1: 5}
6: {4: 1, 3: 2, 1: 3, 2: 4, 0: 5}
7: {2: 1, 4: 2, 3: 3, 0: 4, 1: 5}
8: {2: 1, 1: 2, 4: 3, 3: 4, 0: 5}
9: {0: 1, 4: 2, 1: 3, 2: 4, 3: 5}
10: {3: 1, 0: 2, 4: 3, 2: 4, 1: 5}
11: {3: 1, 4: 2, 2: 3, 1: 4, 0: 5}
12: {2: 1, 0: 2, 1: 3, 3: 4, 4: 5}
13: {4: 1, 2: 2, 3: 3, 0: 4, 1: 5}
14: {1: 1, 0: 2, 3: 3, 4: 4, 2: 5}
